Date,Price,Open,High,Low,Vol.,Change %
03/28/2024,171.48,171.75,172.23,170.51,65.67M,-1.06%
03/27/2024,173.31,170.41,173.6,170.11,60.27M,2.12%
03/26/2024,169.71,170,171.42,169.58,57.39M,-0.67%
03/25/2024,170.85,170.57,171.94,169.45,54.29M,-0.83%
03/22/2024,172.28,171.76,173.05,170.06,71.16M,0.53%
03/21/2024,171.37,177.05,177.49,170.84,106.18M,-4.09%
03/20/2024,178.67,175.72,178.67,175.09,53.42M,1.47%
03/19/2024,176.08,174.34,176.6,173.03,55.22M,1.36%
03/18/2024,173.72,175.57,177.71,173.52,75.60M,0.64%
03/15/2024,172.62,171.17,172.62,170.29,121.75M,-0.22%
03/14/2024,173,172.91,174.31,172.05,72.91M,1.09%
03/13/2024,171.13,172.77,173.18,170.76,52.49M,-1.21%
03-12-2024,173.23,173.15,174.03,171.01,59.83M,0.28%
03-11-2024,172.75,172.94,174.38,172.05,60.14M,1.18%
03-08-2024,170.73,169,173.7,168.94,76.27M,1.02%
03-07-2024,169,169.15,170.73,168.49,71.77M,-0.07%
03-06-2024,169.12,171.06,171.24,168.68,68.59M,-0.59%
03-05-2024,170.12,170.76,172.04,169.62,95.13M,-2.84%
03-04-2024,175.1,176.15,176.9,173.79,81.51M,-2.54%
03-01-2024,179.66,179.55,180.53,177.38,73.56M,-0.60%
02/29/2024,180.75,181.27,182.57,179.53,136.68M,-0.37%
02/28/2024,181.42,182.51,183.12,180.13,48.95M,-0.66%
02/27/2024,182.63,181.1,183.92,179.56,54.32M,0.81%
02/26/2024,181.16,182.24,182.76,180.65,40.87M,-0.75%
02/23/2024,182.52,185.01,185.04,182.23,45.12M,-1.00%
02/22/2024,184.37,183.48,184.96,182.46,52.29M,1.12%
02/21/2024,182.32,181.94,182.89,180.66,41.53M,0.42%
02/20/2024,181.56,181.79,182.43,180,53.67M,-0.41%
02/16/2024,182.31,183.42,184.85,181.66,49.75M,-0.84%
02/15/2024,183.86,183.55,184.49,181.35,65.43M,-0.16%
02/14/2024,184.15,185.32,185.53,182.44,54.63M,-0.48%
02/13/2024,185.04,185.77,186.21,183.51,56.53M,-1.13%
02-12-2024,187.15,188.41,188.67,186.79,41.78M,-0.90%
02-09-2024,188.85,188.65,189.99,188,45.16M,0.28%
02-08-2024,188.32,189.38,189.54,187.35,40.96M,-0.58%
02-07-2024,189.41,190.64,191.05,188.61,53.44M,0.06%
02-06-2024,189.3,186.86,189.31,186.77,43.49M,0.86%
02-05-2024,187.68,188.15,189.25,185.84,69.67M,0.98%
02-02-2024,185.85,179.86,187.33,179.25,102.55M,-0.54%
02-01-2024,186.86,183.99,186.95,183.82,64.89M,1.33%
01/31/2024,184.4,187.04,187.1,184.35,55.47M,-1.94%
01/30/2024,188.04,190.94,191.8,187.47,55.86M,-1.92%
01/29/2024,191.73,192.01,192.2,189.58,47.15M,-0.36%
01/26/2024,192.42,194.27,194.76,191.94,44.59M,-0.90%
01/25/2024,194.17,195.22,196.27,193.11,54.82M,-0.17%
01/24/2024,194.5,195.42,196.38,194.34,53.63M,-0.35%
01/23/2024,195.18,195.02,195.75,193.83,42.36M,0.67%
01/22/2024,193.89,192.3,195.33,192.26,60.13M,1.22%
01/19/2024,191.56,189.33,191.95,188.82,68.90M,1.55%
01/18/2024,188.63,186.09,189.14,185.83,78.01M,3.26%
01/17/2024,182.68,181.27,182.93,180.3,47.32M,-0.52%
01/16/2024,183.63,182.16,184.26,180.93,65.60M,-1.23%
01-12-2024,185.92,186.06,186.74,185.19,40.48M,0.18%
01-11-2024,185.59,186.54,187.05,183.62,49.13M,-0.32%
01-10-2024,186.19,184.35,186.4,183.92,46.79M,0.57%
01-09-2024,185.14,183.92,185.15,182.73,42.84M,-0.23%
01-08-2024,185.56,182.09,185.6,181.5,59.14M,2.42%
01-05-2024,181.18,181.99,182.76,180.17,62.38M,-0.40%
01-04-2024,181.91,182.15,183.09,180.88,71.98M,-1.27%
01-03-2024,184.25,184.22,185.88,183.43,58.41M,-0.75%
01-02-2024,185.64,187.15,188.44,183.88,82.49M,-3.58%
12/29/2023,192.53,193.9,194.4,191.73,42.67M,-0.54%
12/28/2023,193.58,194.14,194.66,193.17,34.05M,0.22%
12/27/2023,193.15,192.49,193.5,191.09,48.09M,0.05%
12/26/2023,193.05,193.61,193.89,192.83,28.92M,-0.28%
12/22/2023,193.6,195.18,195.41,192.97,37.15M,-0.55%
12/21/2023,194.68,196.1,197.08,193.5,46.48M,-0.08%
12/20/2023,194.83,196.9,197.68,194.83,52.24M,-1.07%
12/19/2023,196.94,196.16,196.95,195.89,40.71M,0.54%
12/18/2023,195.89,196.09,196.63,194.39,55.75M,-0.85%
12/15/2023,197.57,197.53,198.4,197,128.54M,-0.27%
12/14/2023,198.11,198.02,199.62,196.16,66.83M,0.08%
12/13/2023,197.96,195.09,198,194.85,70.40M,1.67%
12-12-2023,194.71,193.08,194.72,191.72,52.70M,0.79%
12-11-2023,193.18,193.11,193.49,191.42,60.94M,-1.29%
12-08-2023,195.71,194.2,195.99,193.67,53.41M,0.74%
12-07-2023,194.27,193.63,195,193.59,47.48M,1.01%
12-06-2023,192.32,194.45,194.76,192.11,41.09M,-0.57%
12-05-2023,193.42,190.21,194.4,190.18,66.63M,2.11%
12-04-2023,189.43,189.98,190.05,187.45,43.39M,-0.95%
12-01-2023,191.24,190.33,191.56,189.23,45.70M,0.68%
11/30/2023,189.95,189.84,190.32,188.19,48.79M,0.31%
11/29/2023,189.37,190.9,192.09,188.97,43.01M,-0.54%
11/28/2023,190.4,189.78,191.08,189.4,38.42M,0.32%
11/27/2023,189.79,189.92,190.67,188.9,40.55M,-0.09%
11/24/2023,189.97,190.87,190.9,189.25,24.05M,-0.70%
11/22/2023,191.31,191.49,192.93,190.82,39.63M,0.35%
11/21/2023,190.64,191.41,191.52,189.74,38.13M,-0.42%
11/20/2023,191.45,189.89,191.9,189.88,46.54M,0.93%
11/17/2023,189.69,190.25,190.38,188.57,50.94M,-0.01%
11/16/2023,189.71,189.57,190.96,188.65,54.41M,0.90%
11/15/2023,188.01,187.85,189.5,187.78,53.79M,0.30%
11/14/2023,187.44,187.7,188.11,186.3,60.11M,1.43%
11/13/2023,184.8,185.82,186.03,184.21,43.63M,-0.86%
11-10-2023,186.4,183.97,186.57,183.53,66.18M,2.19%
11-09-2023,182.41,182.96,184.12,181.81,53.76M,-0.26%
11-08-2023,182.89,182.35,183.45,181.59,49.34M,0.59%
11-07-2023,181.82,179.18,182.44,178.97,70.53M,1.45%
11-06-2023,179.23,176.38,179.43,176.21,63.84M,1.46%
